"ID";"Group";"FKG";"DKG";"Gender";"Elderly";"Age"
1;17;0;0;"male";"65+";"80-84"
2;34;0;0;"female";"65+";"65-69"
3;31;1;0;"female";"65-";"50-54"
4;22;1;0;"female";"65-";"5-9"
5;35;0;0;"female";"65+";"70-74"
6;19;1;1;"male";"65+";"90-94"
7;1;0;1;"male";"65-";"0-4"
8;30;1;1;"female";"65-";"45-49"
9;29;0;0;"female";"65-";"40-44"
10;8;1;1;"male";"65-";"35-39"
11;26;0;1;"female";"65-";"25-29"
12;22;0;0;"female";"65-";"5-9"
13;14;1;0;"male";"65+";"65-69"
14;26;0;0;"female";"65-";"25-29"
15;34;0;0;"female";"65+";"65-69"
16;29;1;1;"female";"65-";"40-44"
17;14;1;1;"male";"65+";"65-69"
18;6;1;0;"male";"65-";"25-29"
19;16;1;1;"male";"65+";"75-79"
20;38;1;1;"female";"65+";"85-89"
21;33;1;1;"female";"65-";"60-64"
22;31;0;1;"female";"65-";"50-54"
23;39;1;1;"female";"65+";"90-94"
24;40;0;0;"female";"65+";"95-99"
25;25;0;0;"female";"65-";"20-24"
26;2;1;1;"male";"65-";"5-9"
27;14;0;0;"male";"65+";"65-69"
28;12;1;1;"male";"65-";"55-59"
29;5;0;0;"male";"65-";"20-24"
30;2;1;1;"male";"65-";"5-9"
31;15;0;0;"male";"65+";"70-74"
32;14;1;1;"male";"65+";"65-69"
33;7;1;1;"male";"65-";"30-34"
34;25;1;0;"female";"65-";"20-24"
35;16;1;1;"male";"65+";"75-79"
36;39;1;0;"female";"65+";"90-94"
37;27;1;0;"female";"65-";"30-34"
38;14;0;1;"male";"65+";"65-69"
39;8;1;1;"male";"65-";"35-39"
40;5;1;0;"male";"65-";"20-24"
41;40;0;1;"female";"65+";"95-99"
42;16;0;0;"male";"65+";"75-79"
43;23;0;0;"female";"65-";"10-14"
44;30;1;1;"female";"65-";"45-49"
45;35;0;1;"female";"65+";"70-74"
46;23;0;0;"female";"65-";"10-14"
47;1;1;0;"male";"65-";"0-4"
48;37;1;0;"female";"65+";"80-84"
49;31;1;0;"female";"65-";"50-54"
50;16;1;0;"male";"65+";"75-79"
51;4;1;0;"male";"65-";"15-19"
52;2;1;0;"male";"65-";"5-9"
53;33;1;0;"female";"65-";"60-64"
54;34;0;0;"female";"65+";"65-69"
55;27;1;0;"female";"65-";"30-34"
56;6;0;1;"male";"65-";"25-29"
57;14;1;1;"male";"65+";"65-69"
58;30;0;1;"female";"65-";"45-49"
59;37;0;1;"female";"65+";"80-84"
60;28;1;1;"female";"65-";"35-39"
61;10;1;0;"male";"65-";"45-49"
62;26;1;0;"female";"65-";"25-29"
63;12;1;0;"male";"65-";"55-59"
64;39;0;0;"female";"65+";"90-94"
65;7;1;1;"male";"65-";"30-34"
66;17;1;0;"male";"65+";"80-84"
67;11;0;1;"male";"65-";"50-54"
68;4;1;1;"male";"65-";"15-19"
69;34;1;0;"female";"65+";"65-69"
70;22;1;0;"female";"65-";"5-9"
71;27;0;1;"female";"65-";"30-34"
72;17;1;0;"male";"65+";"80-84"
73;34;0;1;"female";"65+";"65-69"
74;30;1;1;"female";"65-";"45-49"
75;14;0;0;"male";"65+";"65-69"
76;38;1;0;"female";"65+";"85-89"
77;26;1;1;"female";"65-";"25-29"
78;2;0;1;"male";"65-";"5-9"
79;24;1;0;"female";"65-";"15-19"
80;17;0;1;"male";"65+";"80-84"
81;4;1;0;"male";"65-";"15-19"
82;22;0;0;"female";"65-";"5-9"
83;39;0;1;"female";"65+";"90-94"
84;29;1;0;"female";"65-";"40-44"
85;23;0;1;"female";"65-";"10-14"
86;10;0;0;"male";"65-";"45-49"
87;32;1;1;"female";"65-";"55-59"
88;27;0;0;"female";"65-";"30-34"
89;34;0;1;"female";"65+";"65-69"
90;26;1;0;"female";"65-";"25-29"
91;20;0;1;"male";"65+";"95-99"
92;20;1;1;"male";"65+";"95-99"
93;16;0;1;"male";"65+";"75-79"
94;19;0;1;"male";"65+";"90-94"
95;33;0;0;"female";"65-";"60-64"
96;38;1;0;"female";"65+";"85-89"
97;6;1;1;"male";"65-";"25-29"
98;30;0;1;"female";"65-";"45-49"
99;40;1;1;"female";"65+";"95-99"
100;39;0;1;"female";"65+";"90-94"
101;15;1;1;"male";"65+";"70-74"
102;16;0;1;"male";"65+";"75-79"
103;39;0;0;"female";"65+";"90-94"
104;5;1;0;"male";"65-";"20-24"
105;38;1;1;"female";"65+";"85-89"
106;14;0;1;"male";"65+";"65-69"
107;22;1;0;"female";"65-";"5-9"
108;22;0;1;"female";"65-";"5-9"
109;29;0;0;"female";"65-";"40-44"
110;17;0;0;"male";"65+";"80-84"
111;7;0;0;"male";"65-";"30-34"
112;14;1;1;"male";"65+";"65-69"
113;26;0;1;"female";"65-";"25-29"
114;3;1;1;"male";"65-";"10-14"
115;35;1;1;"female";"65+";"70-74"
116;9;0;1;"male";"65-";"40-44"
117;22;1;1;"female";"65-";"5-9"
118;6;1;0;"male";"65-";"25-29"
119;13;1;0;"male";"65-";"60-64"
120;25;0;0;"female";"65-";"20-24"
121;11;0;0;"male";"65-";"50-54"
122;26;0;1;"female";"65-";"25-29"
123;20;0;1;"male";"65+";"95-99"
124;38;1;0;"female";"65+";"85-89"
125;35;0;1;"female";"65+";"70-74"
126;15;1;0;"male";"65+";"70-74"
127;13;1;1;"male";"65-";"60-64"
128;34;0;1;"female";"65+";"65-69"
129;19;1;1;"male";"65+";"90-94"
130;13;1;0;"male";"65-";"60-64"
131;4;0;1;"male";"65-";"15-19"
132;3;1;0;"male";"65-";"10-14"
133;28;1;0;"female";"65-";"35-39"
134;27;1;1;"female";"65-";"30-34"
135;37;0;0;"female";"65+";"80-84"
136;13;0;0;"male";"65-";"60-64"
137;38;1;0;"female";"65+";"85-89"
138;9;1;0;"male";"65-";"40-44"
139;32;0;0;"female";"65-";"55-59"
140;9;1;1;"male";"65-";"40-44"
141;2;1;0;"male";"65-";"5-9"
142;35;0;0;"female";"65+";"70-74"
143;28;1;0;"female";"65-";"35-39"
144;38;0;1;"female";"65+";"85-89"
145;28;0;1;"female";"65-";"35-39"
146;34;1;1;"female";"65+";"65-69"
147;15;0;0;"male";"65+";"70-74"
148;16;1;0;"male";"65+";"75-79"
149;23;1;0;"female";"65-";"10-14"
150;4;1;1;"male";"65-";"15-19"
151;8;1;0;"male";"65-";"35-39"
152;24;0;0;"female";"65-";"15-19"
153;31;1;1;"female";"65-";"50-54"
154;35;1;1;"female";"65+";"70-74"
155;15;0;0;"male";"65+";"70-74"
156;32;1;1;"female";"65-";"55-59"
157;3;1;1;"male";"65-";"10-14"
158;25;1;0;"female";"65-";"20-24"
159;15;1;1;"male";"65+";"70-74"
160;24;1;0;"female";"65-";"15-19"
161;37;0;1;"female";"65+";"80-84"
162;8;0;1;"male";"65-";"35-39"
163;15;1;0;"male";"65+";"70-74"
164;27;0;1;"female";"65-";"30-34"
165;31;0;1;"female";"65-";"50-54"
166;21;1;1;"female";"65-";"0-4"
167;34;1;1;"female";"65+";"65-69"
168;22;1;0;"female";"65-";"5-9"
169;21;0;1;"female";"65-";"0-4"
170;17;1;0;"male";"65+";"80-84"
171;15;1;1;"male";"65+";"70-74"
172;5;0;1;"male";"65-";"20-24"
173;12;0;0;"male";"65-";"55-59"
174;12;0;1;"male";"65-";"55-59"
175;31;1;1;"female";"65-";"50-54"
176;32;1;1;"female";"65-";"55-59"
177;6;0;0;"male";"65-";"25-29"
178;21;0;0;"female";"65-";"0-4"
179;24;1;1;"female";"65-";"15-19"
180;21;0;0;"female";"65-";"0-4"
181;16;1;1;"male";"65+";"75-79"
182;18;0;0;"male";"65+";"85-89"
183;1;0;0;"male";"65-";"0-4"
184;37;0;1;"female";"65+";"80-84"
185;4;0;0;"male";"65-";"15-19"
186;21;1;1;"female";"65-";"0-4"
187;33;1;1;"female";"65-";"60-64"
188;24;1;0;"female";"65-";"15-19"
189;17;0;1;"male";"65+";"80-84"
